exp,dominant_species,myco,nutrient_av,CN,soil_other,x_c,rep_c,se_c,x_t,rep_t,se_t,,x_units,treatment,citation,response,lat,lon,elevation,mat,map,other_clim,soil_texture,ecosystem,experiment_type,community_type,sampling_depth,response_level,npk,disturbance_type,c_c,c_t,d_t,n_c,n_t,p_c,p_t,k_c,k_t,i_c,i_t,r_t1,r_t2,s_t,w_t1,w_t2,w_t3,sampling_year,start_year,duration,sd_c,sd_t,comments,db,plant_organ,growth_form,other_variables,treatment_duration,fumigation_type,i_t2,d_t3,age,d_t2,id,comments2, comments3,Sampling_date,wetness_index,period
duke_c,pinus_taeda,EcM,poor,18.9,NA,48.2,3,2.2,49,3,1.2,,%,c,"hansen_et_al.,_2001",leaf_litter_c,35.95,-79.15,NA,15.5,1140,NA,NA,tree_stand,NA,NA,NA,NA,0,NA,363,563,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,1996,1996,NA,3.810511777,2.078460969,measured_with_carlo_erba_c/n_analyzer,pleco,NA,NA,NA,NA,NA,NA,NA,NA,NA,p27205,NA,NA,1996,NA,NA
duke_c,pinus_taeda,EcM,poor,18.9,NA,49.6,3,0.9,50.9,3,2.2,,%,c,"hansen_et_al.,_2001",leaf_litter_c,35.95,-79.15,NA,15.5,1140,NA,NA,tree_stand,NA,NA,NA,NA,0,NA,363,563,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,1997,1996,NA,1.558845727,3.810511777,measured_with_carlo_erba_c/n_analyzer,pleco,NA,NA,NA,NA,NA,NA,NA,NA,NA,p27206,NA,NA,1997,NA,NA
duke_c,pinus_taeda,EcM,poor,18.9,NA,0.73,3,0.0.5,0.78,3,0.05,,%,c,"hansen_et_al.,_2001",leaf_litter_n,35.95,-79.15,NA,15.5,1140,NA,NA,tree_stand,NA,NA,NA,NA,0,NA,363,563,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,1996,1996,NA,NA,0.08660254,measured_with_carlo_erba_c/n_analyzer,pleco,NA,NA,NA,NA,NA,NA,NA,NA,NA,p27346,NA,NA,1996,NA,NA
duke_c,pinus_taeda,EcM,poor,18.9,NA,0.69,3,0.04,0.66,3,0.04,,%,c,"hansen_et_al.,_2001",leaf_litter_n,35.95,-79.15,NA,15.5,1140,NA,NA,tree_stand,NA,NA,NA,NA,0,NA,363,563,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,1997,1996,NA,0.069282032,0.069282032,measured_with_carlo_erba_c/n_analyzer,pleco,NA,NA,NA,NA,NA,NA,NA,NA,NA,p27347,NA,NA,1997,NA,NA
durham_dukeface_c,Pinus_taeda,EcM,poor,18.9,NA,125,3,20,109,3,4,,NA,c,"cotrufo_et_al.,_2005",leaf_litter_cn,35.97,-79.08,NA,NA,NA,NA,NA,tree_stand,NA,NA,NA,NA,0,NA,376,550,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,1998,1994,NA,34.64101615,6.92820323,"_litter_was_oven-dried_at_70_8c_for_72_h,_c_and_n
concentrations_in_an_elemental_analyser_(carlo_erba_na
1500).",pleco,NA,NA,NA,NA,NA,NA,NA,NA,NA,p27255,NA,NA,/11/1998,NA,NA
durham_dukeface_c,Cercis_canadensis,AM,poor,18.9,NA,47,3,3,52,3,11,,NA,c,"cotrufo_et_al.,_2005",leaf_litter_cn,35.97,-79.08,NA,NA,NA,NA,NA,tree_stand,NA,NA,NA,NA,0,NA,376,550,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,1998,1994,NA,5.196152423,19.05255888,"_litter_was_oven-dried_at_70_8c_for_72_h,_c_and_n
concentrations_in_an_elemental_analyser_(carlo_erba_na
1500).",pleco,NA,NA,NA,NA,NA,NA,NA,NA,NA,p27256,NA,NA,/11/1998,NA,NA
durham_dukeface_c,Acer_rubrum,AM,poor,18.9,NA,92,3,18,88,3,5,,NA,c,"cotrufo_et_al.,_2005",leaf_litter_cn,35.97,-79.08,NA,NA,NA,NA,NA,tree_stand,NA,NA,NA,NA,0,NA,376,550,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,1998,1994,NA,31.17691454,8.660254038,"_litter_was_oven-dried_at_70_8c_for_72_h,_c_and_n
concentrations_in_an_elemental_analyser_(carlo_erba_na
1500).",pleco,NA,NA,NA,NA,NA,NA,NA,NA,NA,p27257,NA,NA,/11/1998,NA,NA
durham_dukeface_c,Liquidambar_styraciflua,AM,poor,18.9,NA,73,3,4,85,3,5,,NA,c,"cotrufo_et_al.,_2005",leaf_litter_cn,35.97,-79.08,NA,NA,NA,NA,NA,tree_stand,NA,NA,NA,NA,0,NA,376,550,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,1998,1994,NA,6.92820323,8.660254038,"_litter_was_oven-dried_at_70_8c_for_72_h,_c_and_n
concentrations_in_an_elemental_analyser_(carlo_erba_na
1500).",pleco,NA,NA,NA,NA,NA,NA,NA,NA,NA,p27258,NA,NA,/11/1998,NA,NA
durham_dukeface_c,Pinus_taeda,EcM,poor,18.9,NA,0.42,3,0.07,0.46,3,0.02,,%,c,"cotrufo_et_al.,_2005",leaf_litter_n,35.97,-79.08,NA,NA,NA,NA,NA,tree_stand,NA,NA,NA,NA,0,NA,376,550,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,1998,1994,NA,0.121243557,0.034641016,"_litter_was_oven-dried_at_70_8c_for_72_h,_c_and_n
concentrations_in_an_elemental_analyser_(carlo_erba_na
1500).",pleco,NA,NA,NA,NA,NA,NA,NA,NA,NA,p27339,NA,NA,/11/1998,NA,NA
durham_dukeface_c,Cercis_canadensis,AM,poor,18.9,NA,0.98,3,0.06,0.9,3,0.16,,%,c,"cotrufo_et_al.,_2005",leaf_litter_n,35.97,-79.08,NA,NA,NA,NA,NA,tree_stand,NA,NA,NA,NA,0,NA,376,550,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,1998,1994,NA,0.103923048,0.277128129,"_litter_was_oven-dried_at_70_8c_for_72_h,_c_and_n
concentrations_in_an_elemental_analyser_(carlo_erba_na
1500).",pleco,NA,NA,NA,NA,NA,NA,NA,NA,NA,p27340,NA,NA,/11/1998,NA,NA
