NB_LAB,LCCOwnLabel,ESAagg
0,No data,NA
10,"Cropland, rainfed",Nhigh
11,Herbaceous cover,Nhigh
12,Tree or shrub cover,Nlow
20,"Cropland, irrigated or post-flooding",Nhigh
30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",Nlow
40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ",Nlow
50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",Nlow
60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",Nlow
61,"Tree cover, broadleaved, deciduous, closed (>40%)",Nlow
62,"Tree cover, broadleaved, deciduous, open (15-40%)",Nlow
70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",Nlow
71,"Tree cover, needleleaved, evergreen, closed (>40%)",Nlow
72,"Tree cover, needleleaved, evergreen, open (15-40%)",Nlow
80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",Nlow
81,"Tree cover, needleleaved, deciduous, closed (>40%)",Nlow
82,"Tree cover, needleleaved, deciduous, open (15-40%)",Nlow
90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",Nlow
100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),Nlow
110,Mosaic herbaceous cover (>50%) / tree and shrub (<50%),Nlow
120,Shrubland,Nlow
121,Shrubland evergreen,Nlow
122,Shrubland deciduous,Nlow
130,Grassland,Nlow
140,Lichens and mosses,NA
150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",NA
151,Sparse tree (<15%),NA
152,Sparse shrub (<15%),NA
153,Sparse herbaceous cover (<15%),NA
160,"Tree cover, flooded, fresh or brakish water",NA
170,"Tree cover, flooded, saline water",NA
180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",NA
190,Urban areas,NA
200,Bare areas,NA
201,Consolidated bare areas,NA
202,Unconsolidated bare areas,NA
210,Water bodies,NA
220,Permanent snow and ice,NA
