Citations,References,Vol_FP,Country,Site,Experiment,Latitude,Longitude,Elevation(m),MAT(°C),MAP(mm),Wetness,Ecosystem,Community,Exp Type,Exp GCDFs,Treatment,eCO2F,eCO2+(ppm),eN dose,Variable,Unit,SamplingY,C_M,C_SE,C_SD,C_N,T_M,T_SE,T_SD,T_N
Leadley et al. 1999,"Leadley, P. W., Niklaus, P. A., Stocker, R. & Körner, C. A field study of the effects of elevated CO2 on plant biomass and community structure in a calcareous grassland. Oecologia 118, 39-49 (1999).",118-39,Switzerland,"Jura mountains , northwest Switzerland",Swiss Jura_Nlow_AM,47.55ºN,7.567ºE,520,9.9,791,39.75,Grassland,,Single factor,eCO2,eCO2,OTC,240,,litter mass,g m-2,1994,143.16,6,16.97,8,147.37,7.37,20.84,8
Leadley et al. 1999,"Leadley, P. W., Niklaus, P. A., Stocker, R. & Körner, C. A field study of the effects of elevated CO2 on plant biomass and community structure in a calcareous grassland. Oecologia 118, 39-49 (1999).",118-39,Switzerland,"Jura mountains , northwest Switzerland",Swiss Jura_Nlow_AM,47.55ºN,7.567ºE,520,9.9,791,39.75,Grassland,,Single factor,eCO2,eCO2,OTC,240,,litter mass,g m-2,1995,102.11,8.05,22.77,8,115.79,6.66,18.83,8
Leadley et al. 1999,"Leadley, P. W., Niklaus, P. A., Stocker, R. & Körner, C. A field study of the effects of elevated CO2 on plant biomass and community structure in a calcareous grassland. Oecologia 118, 39-49 (1999).",118-39,Switzerland,"Jura mountains , northwest Switzerland",Swiss Jura_Nlow_AM,47.55ºN,7.567ºE,520,9.9,791,39.75,Grassland,,Single factor,eCO2,eCO2,OTC,240,,litter mass,g m-2,1996,90.53,10.01,28.32,8,100,11.63,32.89,8
Ross et al. 2006,"Ross, D. J., Grayston, S. J. & Whitehead, D. Changes in soil carbon and nitrogen properties and microbial communities in relation to growth of Pinus radiata and Nothofagus fusca trees after 6 years at ambient and elevated atmospheric CO2. Global Change Biol. 12, 1690-1706 (2006).",12-1690,New Zealand,"Bromley, Christchurch, New Zealand",New Zealand OTC - P. radiata_Nhigh_ECM,43.53°S,172.7°E,9,8.9,2309,122.17,Forest,P. radiata stand,Single factor,eCO2,eCO2,OTC,312,,litter mass,g m-2,,362,36,50.91,2,359,21,29.7,2
Ross et al. 2006,"Ross, D. J., Grayston, S. J. & Whitehead, D. Changes in soil carbon and nitrogen properties and microbial communities in relation to growth of Pinus radiata and Nothofagus fusca trees after 6 years at ambient and elevated atmospheric CO2. Global Change Biol. 12, 1690-1706 (2006).",12-1690,New Zealand,"Bromley, Christchurch, New Zealand",New Zealand OTC - N. fusca_Nhigh_ECM,43.53°S,172.7°E,9,8.9,2309,122.17,Forest,N. fusca stand,Single factor,eCO2,eCO2,OTC,312,,litter mass,g m-2,,299,13,18.38,2,385,62,87.68,2
Talhelm et al. 2012,"Talhelm, A. F., Pregitzer, K. S. & Giardina, C. P. Long-term leaf production response to elevated atmospheric carbon dioxide and tropospheric ozone. Ecosystems 15, 71-82 (2012).",15-71,USA,Aspen FACE,FACTS II - Aspen_Nlow_ECM,45.675°N,89.625°W,490,4.2,797,56.13,Forest,Aspen stand,Single factor,eCO2,eCO2,FACE,160,,litter mass,g m-2,2002-2008,191.33,4.59,7.95,3,254.08,7.65,13.26,3
Talhelm et al. 2012,"Talhelm, A. F., Pregitzer, K. S. & Giardina, C. P. Long-term leaf production response to elevated atmospheric carbon dioxide and tropospheric ozone. Ecosystems 15, 71-82 (2012).",15-71,USA,Aspen FACE,FACTS II - Aspen/Birch_Nlow_ECM,45.675°N,89.625°W,490,4.2,797,56.13,Forest,Aspen-Brich mixture stand,Single factor,eCO2,eCO2,FACE,160,,litter mass,g m-2,2002-2008,213.2,7.61,13.19,3,272.59,10.66,18.46,3
Talhelm et al. 2012,"Talhelm, A. F., Pregitzer, K. S. & Giardina, C. P. Long-term leaf production response to elevated atmospheric carbon dioxide and tropospheric ozone. Ecosystems 15, 71-82 (2012).",15-71,USA,Aspen FACE,,45.675°N,89.625°W,490,4.2,797,56.13,Forest,Aspen-Maple mixture stand,Single factor,eCO2,eCO2,FACE,160,,litter mass,g m-2,2002-2008,141.62,15.23,26.38,3,216.24,10.66,18.46,3
Calfapietra et al. 2003,"Calfapietra, C. et al. Free-air CO2 enrichment (FACE) enhances biomass production in a short-rotation poplar plantation. Tree Physiol. 23, 805-814 (2003).",23-805,Italy,"POP-EUROFACE, Viterbo",POPFACE - alba_Nlow_ECM,42.367°N,11.8°E,150,15.2,661,26.23,Forest,P.alba stand,Single factor,eCO2,eCO2,FACE,180,,litter mass,g m-2,2001,533,23,56.34,6,564,27,66.14,6
Calfapietra et al. 2003,"Calfapietra, C. et al. Free-air CO2 enrichment (FACE) enhances biomass production in a short-rotation poplar plantation. Tree Physiol. 23, 805-814 (2003).",23-805,Italy,"POP-EUROFACE, Viterbo",POPFACE - nigra_Nlow_ECM,42.367°N,11.8°E,150,15.2,661,26.23,Forest,P.nigra stand,Single factor,eCO2,eCO2,FACE,180,,litter mass,g m-2,2001,709,45,110.23,6,769,55,134.72,6
Calfapietra et al. 2003,"Calfapietra, C. et al. Free-air CO2 enrichment (FACE) enhances biomass production in a short-rotation poplar plantation. Tree Physiol. 23, 805-814 (2003).",23-805,Italy,"POP-EUROFACE, Viterbo",POPFACE - euramericana_Nlow_ECM,42.367°N,11.8°E,150,15.2,661,26.23,Forest,P.euramericana stand,Single factor,eCO2,eCO2,FACE,180,,litter mass,g m-2,2001,679,20,48.99,6,711,34,83.28,6
Körner & Arnone III 1992,"Körner, C. & Arnone III J. A. Responses to elevated carbon dioxide in artificial tropical ecosystems. Science 257, 1672-1675 (1992).",257-1627,Switzerland,University of Basel,Swiss Greenhouse_Nhigh_AM,47.55°N,7.567°E,290,2,885,73.75,Forest,,Single factor,eCO2,eCO2,OTC,270,,litter mass,g m-2,,8.4,0,0,2,11.6,0,0,2
Allard et al. 2005,"Allard, V., Newton, P. C. D., Lieffering, M., Soussana, J.-F., Carran, R. A. & Matthew, C. Increased quantity and quality of coarse soil organic matter fraction at elevated CO2 in a grazed grassland are a consequence of enhanced root growth rate and turnover. Plant Soil 276, 49-60 (2005).",276-49,New Zealand,North Island of New Zealand,NewZealandFACE_Nlow_AM,40.23°S,175.27°E,9,13.5,875,37.23,Grassland,,Single factor,eCO2,eCO2,FACE,90,,litter mass,g m-2,,154.2,28.3,49.02,3,126.6,8.3,14.38,3
Andresen et al. 2009,"Andresen, L. C., Michelsen, A., Jonasson, S., Beier, C. & Ambus, P. Glycine uptake in heath plants and soil microbes responds to elevated temperature, CO2 and drought. Acta Oecologica 35, 786-796 (2009).",35-786,Denmark,"Brandbjerg, Copenhagen ",CLIMAITE-pooled_Nlow_AM,55.883°N,11.967°E,79,8.2,603,33.13,Grassland,,Single factor,eCO2,eCO2,FACE,130,,litter mass,g m-2,,637,79,193.51,6,875,280,685.86,6
Lagomarsino et al. 2013,"Lagomarsino, A., Lukac, M., Godbold, D. L., Marinari, S. & Angelis, P. Drivers of increased soil respiration in a poplar coppice exposed to elevated CO2. Plant Soil 362, 93-106 (2013).",362-93,Italy,"POP-EUROFACE, Viterbo",EUROFACE - alba_Nhigh_ECM,42.367°N,11.8°E,150,15.2,661,26.23,Forest,,Single factor,eCO2,eCO2,FACE,180,,litter mass,g m-2,2003,864,29,50.23,3,1026,33,57.16,3
Lagomarsino et al. 2013,"Lagomarsino, A., Lukac, M., Godbold, D. L., Marinari, S. & Angelis, P. Drivers of increased soil respiration in a poplar coppice exposed to elevated CO2. Plant Soil 362, 93-106 (2013).",362-93,Italy,"POP-EUROFACE, Viterbo",EUROFACE - alba_Nhigh_ECM,42.367°N,11.8°E,150,15.2,661,26.23,Forest,,Single factor,eCO2,eCO2,FACE,180,,litter mass,g m-2,2004,573,29,50.23,3,577,35,60.62,3
Schlesinger & Lichter 2001,"Schlesinger, W. H. & Lichter, J. Limited carbon storage in soil and litter of experimental forest plots under increased atmospheric CO2. Nature 411, 466-469 (2001).",411-466,USA,Duke Forest ,DUKE FACE_Nlow_ECM,35.867°N,79.996°W,163,15.5,1140,44.71,Forest,,Single factor,eCO2,eCO2,FACE,200,,litter mass,g m-2,2000,1833.5,206.5,357.67,3,2359.6,32.4,56.12,3
