,SITE,SPECIES,myc,NFERT,nup_amb,nup_elev,Nupr,SITE_Sps,id
1,ASPEN,A,ECM,Nlow,3.370606,4.211818,0.222801833,Aspen FACE-A,Aspen FACE-A_Nlow_ECM
2,ASPEN,AB,ECM,Nlow,2.945758,3.810606,0.257422062,Aspen FACE-AB,Aspen FACE-AB_Nlow_ECM
3,BioCON,Legume,N-fixing,Nhigh,7.488026492,9.735442414,0.262467806,BioCON-legumes,BioCON-legumes_Nhigh_N-fixing
4,BioCON,Legume,N-fixing,Nlow,7.655097696,8.728152365,0.131181914,BioCON-legumes,BioCON-legumes_Nlow_N-fixing
5,DUKE,PITA,ECM,Nlow,7.243793339,9.126468072,0.23103376,Duke FACE,Duke FACE_Nlow_ECM
6,GiFACE,grassland,AM,Nlow,12.04851,11.82838,-0.018439272,GiFACE,GiFACE_Nlow_AM
7,Jasper,grassland,AM,Nhigh,5.83,5.89,0.010238997,Jasper FACE,Jasper FACE_Nhigh_AM
8,Jasper,grassland,AM,Nlow,4.03,3.73,-0.077358142,Jasper FACE,Jasper FACE_Nlow_AM
9,Merrit Island,Oak,ECM,Nlow,6.482855265,7.559414194,0.153632659,Florida OTC,Florida OTC_Nlow_ECM
10,Nevada FACE,desert,AM,Nlow,8.93,8.86,-0.00786963,Nevada FACE,Nevada FACE_Nlow_AM
11,NZ,grassland,N-fixing,Nlow,17.35694989,20.54120858,0.168440047,NZ FACE,NZ FACE_Nlow_N-fixing
12,ORNL,SG,AM,Nlow,5.280839622,5.242497294,-0.007287137,ORNL FACE,ORNL FACE_Nlow_AM
13,PHACE,grassland,AM,Nlow,1.463963836,1.313354478,-0.108563178,PHACE,PHACE_Nlow_AM
14,POPFACE,alba,ECM,Nhigh,21.20134455,20.72874902,-0.022543024,POP-alba,POP-alba_Nhigh_ECM
15,POPFACE,eur,ECM,Nhigh,24.5159881,25.08071067,0.022773571,POP-eur,POP-eur_Nhigh_ECM
16,POPFACE,nigra,ECM,Nhigh,31.42730572,28.47416424,-0.098679966,POP-nigra,POP-nigra_Nhigh_ECM
17,SwissFACE,grassland,AM,Nhigh,7.671337551,7.451193432,-0.029116776,SwissFACE,SwissFACE_Nhigh_AM
18,SwissFACE,grassland,AM,Nlow,2.844152,2.351847957,-0.190063573,SwissFACE,SwissFACE_Nlow_AM
19,BioCON,C3forb,AM,Nlow,9.361983384,9.413240217,0.005460064,BioCON,BioCON_Nlow_AM
20,BioCON,C3forb,AM,Nhigh,14.72263018,16.99259281,0.143391754,BioCON,BioCON_Nhigh_AM
