"","SITE","SPECIES","myc","NFERT","amb.Nup.mean","amb.rep","amb.SD","elev.Nup.mean","elev.rep","elev.SD","SITE_Sps","yi","vi"
"1","ASPEN","A","ECM","Nlow",7.24727272727273,3,0.143117590212032,8.18909090909091,3,0.227931771725627,"ASPEN-A",0.122177669046786,0.000388227865379821
"2","ASPEN","AB","ECM","Nlow",5.82484848484849,3,0.691037268811931,7.90666666666667,3,0.876667871245336,"ASPEN-AB",0.305573297532757,0.00878941425203639
"3","DUKE","PITA","ECM","Nlow",8.26130517414815,3,0.743678916322806,10.2687123566296,3,1.46622414117429,"DUKE-PITA",0.217519050530067,0.00949708084036124
"4","Merrit Island","Oak","ECM","Nlow",6.48285526503125,8,0.983190430490308,7.55941419365625,8,1.43229669979202,"Merrit Island-Oak",0.153632658941404,0.00736254888841959
"5","NZ","grassland","AM","Nlow",17.3569498888611,3,3.86465747213531,20.5412085784722,3,3.69664572303077,"NZ-grassland",0.168440046857285,0.0273209662035947
"6","ORNL","SG","AM","Nlow",6.57593832109091,3,0.318938869151338,7.60335591422727,2,0.618423184380149,"ORNL-SG",0.145172439177718,0.00409184852331936
"7","PHACE","grassland","AM","Nlow",1.46396383596667,5,0.172294231131985,1.31335447846667,5,0.279597313829877,"PHACE-grassland",-0.108563178158001,0.0118344517333763
"8","POPFACE","alba","ECM","Nhigh",22.7668707516667,3,1.27419453181231,22.7956668066667,3,1.89947470338801,"POPFACE-alba",0.00126402348847316,0.00335851812596555
"9","POPFACE","eur","ECM","Nhigh",26.3297235216667,3,2.1381078644097,28.074576065,3,2.00097263211068,"POPFACE-eur",0.064165927474758,0.00389139229805365
"10","POPFACE","nigra","ECM","Nhigh",33.3162774283333,3,4.09453469942254,30.77316012,3,1.2459383773934,"POPFACE-nigra",-0.0794032038255607,0.00558113667414526
"11","SwissFACE","grassland","AM","Nhigh",7.67133755086667,3,0.202972647722146,7.45119343176667,3,0.334047670981249,"SwissFACE-grassland",-0.0291167757658862,0.000903304464604665
"12","SwissFACE","grassland","AM","Nlow",2.84415199996667,3,0.210033860306569,2.35184795706667,3,0.120304127934783,"SwissFACE-grassland",-0.190063572509458,0.00269003425154518
"13","BioCON","Legume","N-fixing","Nhigh",7.244085536,3,0.700772258351742,9.754388471,3,1.31983607121126,"BioCON-Legume",0.297531935542637,0.00922201179603254
"14","BioCON","Legume","N-fixing","Nlow",7.469888202,3,0.85070176496044,8.180944187,3,1.00408926597313,"BioCON-Legume",0.0909275374695033,0.00934450304357833
"15","GiFACE","grassland","AM","Nlow",12.04851,3,0.514419089847956,11.82838,3,0.727461339178928,"GiFACE-grassland",-0.0184392722088448,0.00186844515587584
"16","Jasper","grassland","AM","Nhigh",5.83,4,0.838,5.89,4,1.45,"Jasper-grassland",0.0102389973010943,0.0203163890445173
"17","Jasper","grassland","AM","Nlow",4.03,4,0.954,3.73,4,0.284,"Jasper-grassland",-0.0773581423028675,0.0154589324541207
"18","Nevada FACE","desert","AM","Nlow",8.936082357,3,0.253952598317477,8.864634857,3,0.450683016681055,"Nevada FACE-desert",-0.00802752864628526,0.00113079667941642
"19","BioCON","C3forb","AM","Nlow",9.013421196,3,0.481389031636038,9.163973281,3,0.419355673532178,"BioCON-C3forb",0.0165651384027456,0.00164883907390377
