"","ESA","MgSum","PercMean","PgSum"
"1",10,1940739445.49065,9.77445933409464,1.94
"2",11,2423624824.04289,9.65615914321533,2.42
"3",12,52012002.1606445,10.7098045934197,0.05
"4",20,510325856.097412,8.04587901136053,0.51
"5",30,368708448.640442,8.25853455111222,0.37
"6",40,259659554.101562,9.76494398624354,0.26
"7",50,606108673.305511,8.38865438671817,0.61
"8",60,730375448.555183,4.56875110407566,0.73
"9",61,177103119.752502,9.01311619101927,0.18
"10",62,51646576.852417,8.57315719470211,0.05
"11",70,874772923.592663,6.31314656590794,0.87
"12",71,44926085.48069,4.29374275658102,0.04
"13",80,513854689.19158,5.45075212103639,0.51
"14",90,134227384.590454,3.19939784975119,0.13
"15",100,217260985.254288,8.46583138886222,0.22
"16",110,24460721.0632324,10.0494907668659,0.02
"17",120,688052433.880615,11.463681721366,0.69
"18",121,1682656.54296875,9.47157535552978,0
"19",122,67903433.5723877,7.52188211595508,0.07
"20",130,2506602009.93342,11.1577632599096,2.51
"21",140,3806671.09069824,7.18741403926503,0
"22",150,281061759.976196,12.1691967289926,0.28
"23",153,39877131.7626953,13.5670192138008,0.04
"24",160,18782142.3278809,5.33084044663802,0.02
"25",180,92412001.4568329,9.72959276625622,0.09
"26",190,90486086.0473633,8.99241987544866,0.09
"27",200,68879935.6201172,13.5103363536653,0.07
"28",210,402933764.844799,8.73724020616631,0.4
"29",220,5914968.82324219,14.4632960833036,0.01
