YEAR,DOY,CO2,PPT,PAR,AT,ST,VPD,SW,NDEP,NEP,GPP,NPP,CEX,CVOC,RECO,RAUTO,RLEAF,RWOOD,RROOT,RGROW,RHET,RSOIL,ET,T,ES,EC,RO,DRAIN,LE,SH,CL,CW,CCR,CFR,TNC,CFLIT,CFLITA,CFLITB,CCLITB,CSOIL,GL,GW,GCR,GR,GREPR,CLLFALL,CCRLIN,CFRLIN,CWIN,LAI,LMA,NCON,NCAN,NWOOD,NCR,NFR,NSTOR,NLIT,NRLIT,NDW,NSOIL,NPOOLM,NPOOLO,NFIX,NLITIN,NWLIN,NCRLIN,NFRLIN,NUP,NGMIN,NMIN,NVOL,NLEACH,NGL,NGW,NGCR,NGR,APARd,GCd,GAd,GBd,Betad,NLRETRANS,NWRETRANS,NCRRETRANS,NFRRETRANS,LAIpeak,NCANpeak,CLpeak,CFRpeak,CCRpeak,CWpeak,TNCpeak,deltaSW,deltaCL,deltaCW,deltaCCR,deltaCFR,deltaTNC,deltaCFLIT,deltaCFLITA,deltaCFLITB,deltaCCLITB,deltaCSOIL,deltaNCAN,deltaNWOOD,deltaNCR,deltaNFR,deltaNSTOR,deltaNLIT,deltaNRLIT,deltaNDW,deltaNSOIL,model,model_date,model_version,co2,site,CVEG,CVEG_noTNC,CVEGpeak,CVEGpeak_noTNC,NVEG,NVEG_noSTOR,NUE,PNUE,WUE,WUENPP,CUEn,CUEr,TLAI
        2006,       183.0,    354.4411,   215.10360,   15282.803,    7.910710,   11.146186,  0.30618349,  39.3444820,   0.4619390, -68.31544300,  169.895887,   71.563222,          NA,          NA,  238.211323,   98.332664,   45.765121,    0.000000,   30.251700,   22.315831,  139.878681,   180.18476,  242.385834,  87.0470290,  144.744789, 10.59402300,3.147598e+01,   8.9843030,   608.56373,  1140.692759,  25.9675014,0.000000e+00,0.000000e+00,2.129335e+01, 1.383024e+02,   62.760280,          NA,   62.760280,0.000000e+00,   2310.0553,  101.011007,   0.0000000,     0.00000,  82.8290280,          NA,   77.379172,    0.000000,   63.450922,  0.00000000,  193.354010,          NA,          NA,  0.78928577,0.000000e+00,0.000000e+00,   0.4216505, 5.010694619,          NA,  1.25174413,0.000000e+00,   230.45890,1.434827e-02,2.304445e+02,6.995910e-01, 1.552976000, 0.000000000,  0.000000000, 1.256483e+00,  1.63327100,   5.7728760,   1.0475630,  0.56817000, 0.000000e+00,  3.07024000, 0.0000000000, 0.000000000, 1.640180000,4.631419e+02,          NA,  0.48354464, 0.483544638,  0.57458768,  0.79897000, 0.000000000,  0.00000000,          NA,  1.25798100,   1.8743380,   61.665733,   50.565903,     0.00000,    0.000000, 217.2390750, -17.68870500,  21.91130400,   0.0000000,     0.00000, 1.796727e+01,-115.2813270, -18.8565370,           NA, -18.85653700,   0.0000000,  25.80444300, 0.6659970000, 0.0000000000,  0.00000000, 0.355788000,-2.360450e+00,          NA,-0.3763830000, 0.0000000000, 2.308334e+00,CLM4,150622,           2,AMB,PHAC,   185.56323,    47.26085,   329.47071,   112.23164,   6.2216309,   1.2109363,   43.815890,    90.64314,   1.9517712,   0.82212136,  0.42121810,  0.42121810, 0.450195106
        2007,       183.0,    356.2154,   434.85480,   12474.997,    7.663178,    9.775116,  0.25222602,  51.8734244,   0.4601510,  62.48782000,  289.847896,  178.672018,          NA,          NA,  227.360062,  111.175870,   36.635104,    0.000000,   22.165419,   52.375354,  116.184198,   161.94729,  351.970374, 121.6875350,  222.804383,  7.47848100,6.617559e+01,   6.4725350,   883.71307,   437.556798,  19.2752611,0.000000e+00,0.000000e+00,1.580571e+01, 1.387351e+02,   49.617619,          NA,   49.617619,0.000000e+00,   2319.1386,   31.024002,   0.0000000,     0.00000,  25.4396840,          NA,   54.655840,    0.000000,   44.817794,  0.00000000,  143.523592,          NA,          NA,  0.58587420,0.000000e+00,0.000000e+00,   0.3129844, 5.050064868,          NA,  0.98991288,0.000000e+00,   231.40431,1.769758e-02,2.313866e+02,3.483850e-01, 1.097100000, 0.000000000,  0.000000000, 8.874410e-01,  3.37686300,   6.6595550,   3.2590470,  0.69844900, 0.000000e+00,  0.94298100, 0.0000000000, 0.000000000, 0.503757000,3.679503e+02,0.0014959534,  0.34247806, 0.342478060,  0.78714563,  0.56414800, 0.000000000,  0.00000000,          NA,  0.63217200,   0.9419090,   30.988800,   25.410816,     0.00000,    0.000000, 221.8040920,  22.57562600, -21.91130400,   0.0000000,     0.00000,-1.796727e+01, 119.2864230,  -1.5541760,           NA,  -1.55417600,   0.0000000, -15.19506800,-0.6659970000, 0.0000000000,  0.00000000,-0.355788000, 2.375328e+00,          NA,-0.0310730000, 0.0000000000,-1.212509e+00,CLM4,150622,           2,AMB,PHAC,   173.81611,    35.08098,   278.20371,    56.39962,   5.9489235,   0.8988586,   52.910651,   307.72388,   2.3819029,   1.46828529,  0.61643372,  0.61643375, 0.847857368
        2008,       183.0,    358.1125,   410.41620,   13094.956,    6.790172,    8.698974,  0.25399878,  51.2975983,   0.4583650,  -8.00493500,  248.863865,  122.836391,          NA,          NA,  256.868809,  126.027466,   54.298240,    0.000000,   32.941944,   38.787272,  130.841335,   181.25887,  334.483730, 128.8302830,  196.532167,  9.12128100,7.254580e+01,  10.2057590,   837.81908,   672.279190,  30.2134285,0.000000e+00,0.000000e+00,2.477501e+01, 1.690020e+02,   50.917451,          NA,   50.917451,0.000000e+00,   2310.6588,  114.955062,   0.0000000,     0.00000,  94.2631530,          NA,   86.669695,    0.000000,   71.069152,  0.00000000,  224.969187,          NA,          NA,  0.91834129,0.000000e+00,0.000000e+00,   0.4905943, 5.374138441,          NA,  1.01577508,0.000000e+00,   230.63249,2.069585e-02,2.306118e+02,7.461290e-01, 1.739674000, 0.000000000,  0.000000000, 1.407319e+00,  2.34250800,   5.9389570,   1.9415700,  0.80157800, 0.000000e+00,  3.49407300, 0.0000000000, 0.000000000, 1.866592000,4.195422e+02,0.0023567205,  0.37809362, 0.378093619,  0.69129733,  0.89466100, 0.000000000,  0.00000000,          NA,  1.27175900,   1.8948660,   62.341106,   51.119705,     0.00000,    0.000000, 221.2441710, -16.73414600,  25.80133100,   0.0000000,     0.00000, 2.115709e+01, -89.9879150,  22.8053590,           NA,  22.80535100,   0.0000000,  12.13793900, 0.7842350000, 0.0000000000,  0.00000000, 0.418952000,-2.205100e+00,          NA, 0.4552860000, 0.0000000000, 9.498590e-01,CLM4,150622,           2,AMB,PHAC,   223.99047,    54.98844,   334.70498,   113.46081,   6.7830740,   1.4089356,   52.437981,   131.33586,   1.9317187,   0.95347451,  0.49358870,  0.49358873, 0.572657459
        2009,       183.0,    359.9908,   495.60120,   12918.404,    6.428826,    9.165966,  0.23538182,  53.8369220,   0.4565790,  38.86332700,  286.527507,  168.012064,          NA,          NA,  247.664179,  118.515429,   42.707830,    0.000000,   26.843430,   48.964165,  129.148747,   178.05296,  372.717267, 151.2464190,  210.798892, 10.67196500,6.904271e+01,   7.7013100,   935.12283,   424.052564,  24.7046885,0.000000e+00,0.000000e+00,2.025784e+01, 1.531467e+02,   62.394566,          NA,   62.394566,0.000000e+00,   2321.9359,   39.669628,   0.0000000,     0.00000,  32.5290950,          NA,   67.954999,    0.000000,   55.723097,  0.00000000,  183.951110,          NA,          NA,  0.75090237,0.000000e+00,0.000000e+00,   0.4011454, 5.070860589,          NA,  1.24450191,0.000000e+00,   231.63899,7.636318e-03,2.316314e+02,5.552940e-01, 1.364247000, 0.000000000,  0.000000000, 1.103411e+00,  3.58573200,   6.7955210,   2.9030710,  0.33110900, 0.000000e+00,  1.20576300, 0.0000000000, 0.000000000, 0.644141000,4.267789e+02,          NA,  0.36939349, 0.369393493,  0.81542179,  0.70126600, 0.000000000,  0.00000000,          NA,  0.80833800,   1.2043890,   39.624390,   32.492001,     0.00000,    0.000000, 223.9829250,  11.62417200, -25.80133100,   0.0000000,     0.00000,-2.115709e+01,  92.5636750,  -0.1549680,           NA,  -0.15496800,   0.0000000,  -6.53759700,-0.7842350000, 0.0000000000,  0.00000000,-0.418952000, 2.309780e+00,          NA,-0.0032040000, 0.0000000000,-4.227140e-01,CLM4,150622,           2,AMB,PHAC,   198.10919,    44.96253,   296.09932,    72.11639,   6.2229084,   1.1520478,   46.855723,   237.90279,   1.8944416,   1.11084986,  0.58637324,  0.58637329, 0.822209874
        2010,       183.0,    361.8561,   373.89060,   13116.724,    7.282807,    9.599641,  0.22718164,  51.5190062,   0.4547880, -19.90662700,  237.091587,  108.129884,          NA,          NA,  256.998221,  128.961705,   58.504187,    0.000000,   36.547150,   33.910364,  128.036512,   179.86196,  300.292761, 144.4665440,  149.018498,  6.80771800,6.464508e+01,  10.5770020,   751.93114,   749.789094,  30.9021848,0.000000e+00,0.000000e+00,2.533979e+01, 1.716231e+02,   70.601146,          NA,   70.601146,0.000000e+00,   2316.7345,  121.902391,   0.0000000,     0.00000,  99.9599530,          NA,  121.902383,    0.000000,   99.959958,  0.00000000,  230.097667,          NA,          NA,  0.93927615,0.000000e+00,0.000000e+00,   0.5017781, 5.635001707,          NA,  1.40846500,0.000000e+00,   231.20792,1.068654e-02,2.311972e+02,7.120750e-01, 2.444482000, 0.000000000,  0.000000000, 1.979396e+00,  2.38728500,   5.7416700,   1.6543300,  0.43398200, 0.000000e+00,  3.70524000, 0.0000000000, 0.000000000, 1.979405000,4.481984e+02,0.0024497425,  0.30095529, 0.300955290,  0.64006637,  1.26076800, 0.000000000,  0.00000000,          NA,  1.29584300,   1.9307510,   63.521694,   52.087791,     0.00000,    0.000000, 223.8199310,  -7.56674500,   0.00000000,   0.0000000,     0.00000, 0.000000e+00,-117.3911900,  81.7322460,           NA,  81.73225400,   0.0000000,  15.78247100, 0.0000000000, 0.0000000000,  0.00000000, 0.000000000,-2.149231e+00,          NA, 1.6292640000, 0.0000000000, 1.253098e+00,CLM4,150622,           2,AMB,PHAC,   227.86503,    56.24198,   339.42942,   115.60949,   7.0760559,   1.4410542,   45.294083,   122.79760,   1.6411522,   0.74847699,  0.45606799,  0.45606798, 0.627848800
        2011,       183.0,    363.7153,   428.57820,   12963.408,    6.711174,    8.803570,  0.28407271,  51.1684320,   0.4529960,  -3.93023900,  236.443892,  138.491672,          NA,          NA,  240.374118,   97.952209,   36.201146,    0.000000,   21.958373,   39.792704,  142.421909,   182.30886,  361.386878, 122.7832790,  230.349999,  8.25360000,7.402835e+01,  11.3340470,   906.82414,   470.122411,  19.7524835,0.000000e+00,0.000000e+00,1.619704e+01, 1.238469e+02,   83.971335,          NA,   83.971335,0.000000e+00,   2337.4973,   32.897270,   0.0000000,     0.00000,  26.9757620,          NA,   32.897268,    0.000000,   26.975759,  0.00000000,  147.076996,          NA,          NA,  0.60037944,0.000000e+00,0.000000e+00,   0.3207334, 4.819274537,          NA,  1.67469232,0.000000e+00,   233.08534,8.709540e-03,2.330766e+02,4.991390e-01, 0.662044000, 0.000000000,  0.000000000, 5.341570e-01,  2.75143500,   6.7447560,   2.1694520,  0.37008200, 0.000000e+00,  0.99991800, 0.0000000000, 0.000000000, 0.534173000,3.786562e+02,0.0015541479,  0.36298480, 0.362984803,  0.75263179,  0.33786500, 0.000000000,  0.00000000,          NA,  0.67035400,   0.9988000,   32.860504,   26.945614,     0.00000,    0.000000, 183.0400390,  -1.81672700,   0.00000000,   0.0000000,     0.00000, 0.000000e+00,  75.9343720, -85.9204410,           NA, -85.92044100,   0.0000000,   5.97851500, 0.0000000000, 0.0000000000,  0.00000000, 0.000000000, 1.458785e+00,          NA,-1.7119130000, 0.0000000000, 8.349000e-01,CLM4,150622,           2,AMB,PHAC,   159.79639,    35.94952,   242.84616,    59.80612,   5.7403873,   0.9211128,   50.334343,   236.72797,   1.9257011,   1.12793593,  0.58572742,  0.58572747, 0.834823136
        2012,       183.0,    365.5707,   224.61840,   13131.224,    8.800747,   10.510956,  0.33855432,  41.6733464,   0.4512100, -36.00371500,  198.710590,  100.595703,          NA,          NA,  234.714306,   98.114885,   42.254144,    0.000000,   25.391887,   30.468860,  136.599411,   175.71904,  232.121651,  85.8341880,  138.773137,  7.51433200,3.622309e+01,   8.7613450,   581.63590,   617.960208,  23.2087867,0.000000e+00,0.000000e+00,1.903121e+01, 1.261390e+02,   57.743850,          NA,   57.743850,0.000000e+00,   2345.1367,   86.126336,   0.0000000,     0.00000,  70.6235900,          NA,   61.672172,    0.000000,   50.571179,  0.00000000,  172.812631,          NA,          NA,  0.70543425,0.000000e+00,0.000000e+00,   0.3768555, 4.816899592,          NA,  1.15194039,0.000000e+00,   233.95883,1.444616e-02,2.339444e+02,6.118140e-01, 1.238261000, 0.000000000,  0.000000000, 1.001383e+00,  2.05407200,   6.1335490,   1.5991840,  0.57481600, 0.000000e+00,  2.61782400, 0.0000000000, 0.000000000, 1.398484000,3.896946e+02,0.0017921205,  0.31136641, 0.311366408,  0.59829955,  0.63626300, 0.000000000,  0.00000000,          NA,  1.06125700,   1.5812280,   52.022415,   42.658379,     0.00000,    0.000000, 182.3631130,  -4.72822600,  23.19937300,   0.0000000,     0.00000, 1.902349e+01, -58.8638450, -34.7204050,           NA, -34.72040500,   0.0000000,  15.43408200, 0.7051480000, 0.0000000000,  0.00000000, 0.376703000,-1.409239e+00,          NA,-0.6918420000, 0.0000000000, 1.505768e+00,CLM4,150622,           2,AMB,PHAC,   168.37900,    42.23999,   277.04391,    94.68079,   5.8991894,   1.0822898,   48.973796,   125.66852,   2.3150518,   1.17197710,  0.50624228,  0.50624229, 0.496689319
        2013,       183.0,    367.4706,   477.75421,   12639.740,    6.555379,    8.753050,  0.28178053,  52.0205085,   0.4494240,  52.16055300,  261.190339,  153.642193,          NA,          NA,  209.029783,  107.548152,   38.187057,    0.000000,   23.498006,   45.863085,  101.481635,   145.64323,  303.534464,  97.5570200,  197.034083,  8.94334600,7.252300e+01,   6.6987710,   762.43298,   437.356874,  20.7001913,0.000000e+00,0.000000e+00,1.697416e+01, 1.401194e+02,   44.193892,          NA,   44.193892,0.000000e+00,   2346.7997,   36.207305,   0.0000000,     0.00000,  29.6899920,          NA,   60.661467,    0.000000,   49.742401,  0.00000000,  154.133627,          NA,          NA,  0.62918514,0.000000e+00,0.000000e+00,   0.3361219, 5.077597156,          NA,  0.88220359,0.000000e+00,   234.23978,2.871917e-02,2.342111e+02,4.690280e-01, 1.217538000, 0.000000000,  0.000000000, 9.849920e-01,  2.92214100,   5.9466880,   3.0661500,  1.09570000, 0.000000e+00,  1.10052300, 0.0000000000, 0.000000000, 0.587923000,3.620384e+02,0.0016181260,  0.30275153, 0.302751526,  0.69786399,  0.62628100, 0.000000000,  0.00000000,          NA,  0.73779900,   1.0992890,   36.166592,   29.656607,     0.00000,    0.000000, 208.4926150,           NA,           NA,          NA,          NA,           NA,          NA,          NA,           NA,           NA,          NA,           NA,           NA,           NA,          NA,          NA,           NA,          NA,           NA,           NA,           NA,CLM4,150622,           2,AMB,PHAC,   177.79374,    37.67435,   274.31581,    65.82320,   6.0429042,   0.9653071,   52.578638,   237.59934,   2.6773095,   1.57489633,  0.58823842,  0.58823840, 0.632937938
        2006,       183.0,    477.3223,   215.10360,   15282.803,    7.910711,   11.146269,  0.30618352,  39.5120899,   0.4619390, -52.82256100,  191.433220,   85.971792,          NA,          NA,  244.255782,  105.461432,   47.502616,    0.000000,   31.372433,   26.586389,  138.794350,   182.14526,  242.177336,  84.7886750,  146.715465, 10.67319600,3.146249e+01,   8.9861800,   608.04827,  1143.351605,  26.9721111,0.000000e+00,0.000000e+00,2.211713e+01, 1.439627e+02,   64.601798,          NA,   64.601798,0.000000e+00,   2308.8553,  102.992319,   0.0000000,     0.00000,  84.4536960,          NA,   78.598299,    0.000000,   64.450603,  0.00000000,  200.834343,          NA,          NA,  0.81982101,0.000000e+00,0.000000e+00,   0.4379630, 5.080707082,          NA,  1.28848358,0.000000e+00,   230.34145,1.101164e-02,2.303304e+02,6.995910e-01, 1.577572000, 0.000000000,  0.000000000, 1.276271e+00,  1.88382600,   5.7775950,   1.1686360,  0.44617600, 0.000000e+00,  3.13046200, 0.0000000000, 0.000000000, 1.672348000,4.731749e+02,          NA,  0.48303091, 0.483030912,  0.58220515,  0.81142900, 0.000000000,  0.00000000,          NA,  1.25798100,   1.8743380,   61.665733,   50.565903,     0.00000,    0.000000, 217.2390750, -17.49310700,  22.56356600,   0.0000000,     0.00000, 1.850212e+01,-104.5767980, -13.3347320,           NA, -13.33473200,   0.0000000,  23.94824200, 0.6858230000, 0.0000000000,  0.00000000, 0.366379000,-2.190091e+00,          NA,-0.2663020000, 0.0000000000, 2.119690e+00,CLM4,150622,           2,ELE,PHAC,   193.05198,    49.08924,   329.47071,   112.23164,   6.3384911,   1.2577840,   45.636801,   102.13378,   2.2577687,   1.01395371,  0.44909547,  0.44909545, 0.422182151
        2007,       183.0,    500.9337,   434.85480,   12474.997,    7.663185,    9.774603,  0.25222628,  52.0486841,   0.4601510,  70.14477900,  308.649461,  188.793694,          NA,          NA,  238.504675,  119.855761,   40.007554,    0.000000,   24.206745,   55.641467,  118.648913,   167.92489,  351.342839, 118.6550390,  224.961680,  7.72612100,6.598525e+01,   6.4862670,   882.08348,   445.215543,  21.0417088,0.000000e+00,0.000000e+00,1.725420e+01, 1.489459e+02,   54.242134,          NA,   54.242134,0.000000e+00,   2318.1068,   33.896958,   0.0000000,     0.00000,  27.7955080,          NA,   58.290980,    0.000000,   47.798604,  0.00000000,  156.676570,          NA,          NA,  0.63956561,0.000000e+00,0.000000e+00,   0.3416673, 5.231827173,          NA,  1.08215302,0.000000e+00,   231.28334,9.709164e-03,2.312736e+02,4.099120e-01, 1.170176000, 0.000000000,  0.000000000, 9.465120e-01,  3.67958900,   6.7016690,   3.2159850,  0.40647000, 0.000000e+00,  1.03030100, 0.0000000000, 0.000000000, 0.550405000,3.887266e+02,0.0016224164,  0.33698163, 0.336981630,  0.78797036,  0.60157000, 0.000000000,  0.00000000,          NA,  0.69071400,   1.0291350,   33.858536,   27.763998,     0.00000,    0.000000, 237.2501980,  22.67303500, -22.56356600,   0.0000000,     0.00000,-1.850212e+01, 123.9741980,   1.2272340,           NA,   1.22723400,   0.0000000, -13.88330100,-0.6858230000, 0.0000000000,  0.00000000,-0.366379000, 2.576713e+00,          NA, 0.0244620000, 0.0000000000,-1.085877e+00,CLM4,150622,           2,ELE,PHAC,   187.24180,    38.29591,   298.87273,    61.62253,   6.2130601,   0.9812330,   51.308365,   299.91154,   2.6012335,   1.59111400,  0.61167673,  0.61167675, 0.757324717
