"","Cplant","Csoil","model","site","Cabove"
"1",0.032290663,0.012631625,"GDAY","DUKE",0.0207147012414183
"2",0.045327353,0.012295515,"DAYC","DUKE",0.0451189609751649
"3",0.047816659,0.003554051,"ORCH","DUKE",0.0459983832342697
"4",0.059911849,0.056694907,"JULE","DUKE",0.060092016539398
"5",0.060042036,0.019411434,"CLM4","DUKE",0.062924529847958
"6",0.093505107,0.016109866,"ISAM","DUKE",0.0749387952755056
"7",0.096821726,0.007802911,"CLM5","DUKE",0.098369002741607
"8",0.110090702,-0.00234566,"OCNX","DUKE",0.107416520738816
"9",0.116308773,0.013618011,"SDVM","DUKE",0.118077744391874
"10",0.121884816,0.042514406,"TECO","DUKE",0.111139853963336
"11",0.213859229,0.036162391,"LPJG","DUKE",0.205257846045783
"12",0.276799633,0.040378675,"CABL","DUKE",0.246575305945624
"13",0.012081968,-0.001818265,"CLM5","KSCO",0.0118297928221254
"14",0.01314066,0.003674516,"CLM4","KSCO",0.0132202382074607
"15",0.07502588,0.036511846,"SDVM","KSCO",0.285388240718911
"16",0.085145034,0.071146015,"OCNX","KSCO",0.0731834601914314
"17",0.103776628,0.075566982,"DAYC","KSCO",0.0558110772945619
"18",0.123049089,0.01755371,"ORCH","KSCO",0.111951372810627
"19",0.242300712,0.020787267,"TECO","KSCO",0.0824816903036972
"20",0.270813861,0.041394135,"ISAM","KSCO",0.551277947988703
"21",0.316591016,0.129468173,"GDAY","KSCO",0.579100071994339
"22",0.467417427,-0.032149401,"LPJG","KSCO",0.559375065562961
"23",0.548778563,0.208838769,"JULE","KSCO",0.452198837872381
"24",0.957595784,0.994583998,"CABL","KSCO",0.904591329991613
"25",0.037034304,0.010048543,"OCNX","NDFF",0.0338813671870556
"26",0.049450479,0.005470043,"DAYC","NDFF",0.0621641097350552
"27",0.063330147,0.000418612,"CABL","NDFF",0.0475527826205455
"28",0.07268381,0.012341382,"GDAY","NDFF",0.0559909014151425
"29",0.07988668,0.00589516,"CLM4","NDFF",0.0769733982629777
"30",0.081428855,0.013346286,"TECO","NDFF",0.0446057188859173
"31",0.114419209,0.000746338,"CLM5","NDFF",0.0735086190708924
"32",0.187038363,0.124907453,"JULE","NDFF",0.213245554996611
"33",0.202854405,0.073120319,"ORCH","NDFF",0.163691357080288
"34",0.264214897,-0.0014616,"SDVM","NDFF",0.21361832264603
"35",0.524980832,0.222707668,"LPJG","NDFF",0.342802550667132
"36",0.583374735,0.022842594,"ISAM","NDFF",0.241955791706591
"37",0.023974734,0.063725562,"JULE","ORNL",0.0241400360085029
"38",0.03062073,0.007173169,"ORCH","ORNL",0.0303779787345893
"39",0.031619519,0.011847756,"DAYC","ORNL",0.030775340389139
"40",0.034029787,0.009793309,"CLM4","ORNL",0.0419417076048746
"41",0.042519482,0.014064814,"OCNX","ORNL",0.036966290924155
"42",0.095599467,0.016841194,"SDVM","ORNL",0.0998401194279651
"43",0.133516141,0.016295297,"GDAY","ORNL",0.140429078089723
"44",0.151715247,0.043058347,"LPJG","ORNL",0.148883033371871
"45",0.184257937,0.132458554,"CABL","ORNL",0.168816123652968
"46",0.193248242,0.021099146,"ISAM","ORNL",0.20691848654035
"47",0.26829628,0.04482948,"TECO","ORNL",0.242907214256234
"48",0.380543404,0.013965658,"CLM5","ORNL",0.372140506229394
"49",0.037368847,0.001764797,"TECO","PHAC",0.0718096233351798
"50",0.040178674,0.004272178,"DAYC","PHAC",0.151191118226949
"51",0.051863947,0.00402953,"CLM4","PHAC",0.0490100683101473
"52",0.098456628,0.098176875,"JULE","PHAC",0.138700451219439
"53",0.110416049,-0.003489798,"OCNX","PHAC",0.149619542990594
"54",0.150053577,0.021499058,"ISAM","PHAC",0.204393854929822
"55",0.187768907,0.003251645,"ORCH","PHAC",0.211244182186782
"56",0.240593283,-0.002388846,"GDAY","PHAC",0.19099027868766
"57",0.250987549,0.212013957,"CABL","PHAC",0.106786884760992
"58",0.259360188,0.01461375,"SDVM","PHAC",0.213258085536918
"59",0.267087349,0.005792459,"CLM5","PHAC",0.214436648368581
"60",0.365347743,0.044927247,"LPJG","PHAC",0.289960016455559
"61",0.022537228,0.000424816,"CLM5","RHIN",0.0234514016111891
"62",0.029102703,0.138965335,"JULE","RHIN",0.029003580079884
"63",0.033503846,0.000387293,"CLM4","RHIN",0.0301628562573012
"64",0.038154645,0.000630265,"ORCH","RHIN",0.0375872089394261
"65",0.08456537,0.008889453,"GDAY","RHIN",0.0897416849504018
"66",0.085345537,0.004201925,"DAYC","RHIN",0.0855417479112916
"67",0.106473629,0.01855937,"TECO","RHIN",0.0983744936160366
"68",0.189291846,0.017849312,"SDVM","RHIN",0.18086319308908
"69",0.232392394,0.009700737,"OCNX","RHIN",0.21074676772421
"70",0.278879497,0.055184121,"LPJG","RHIN",0.268829032194931
"71",0.418174206,0.031468089,"CABL","RHIN",0.2940023866954
"72",0.504440387,0.017385088,"ISAM","RHIN",0.365219014015385
