"","Experiment","Site","Site_dependent","Citation","Species","Depth..cm.","Depth","date","Experiment_type","Disturbance","N","Myc","nyears","amb","elev","amb.se","elev.se","amb.n","elev.n","biomass","Biome","Ecosystem.type","MAT","MAP","MAPraw","LAImean","LAImax","fPARmean","fPARmax","Latitude","Lat","Longitude","Lon","Description.of.data.source","SE.SD","ambCO2","elevCO2","id","amb.sd","elev.sd","weightsTime","imputedSD","yi","vi","abs","abs.var"
"1","ArizonaFACE - wheat - high N","Maricopa","Maricopa","Leavitt et al. 2001",NA,15,"0-15 cm","May-97","FACE","disturbed","Nhigh","AM",1.5,1258,1400,38,176,4,4,0.05126777975,"Cropland","Agricultural",21.8,750,"750",0.23240508,0.299997,0.12022223,0.156,33.0628,"N",111.98,"W","fig. 3","sd",370,550,"ArizonaFACE - wheat - high N_Nhigh_AM",38,176,2.75,"no",0.106949078342964,0.0041791312460188,142,8105
"2","Biosphere 2","Biosphere 2","Biosphere 2","Trueman and Gonzalez-Meler 2005",NA,25,"0-25 cm","average 2003","Chamber","disturbed","Nhigh","AM",4,5335,4220,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0.44906959,0.69999301,0.18466666,0.204,32.62,"N",110.78,"W","fig. 3",NA,400,800,"Biosphere 2_Nhigh_AM",547.855791288011,510.226436047307,2.5,"yes",-0.234453756705796,0.0251638541656071,-1115,560476.98408935
"3","China FACE rice - high N - weakly","China FACE","China FACE","Hu et al. 2019","WuYunJing (japonica rice)",15,NA,"2012","FACE","intact","Nhigh","AM",3,2707.6,2756.3,54.52,25.78,3,3,0.08103100889,"Cropland","Agricultural",12,204.8,"204.8",2.18979287,5.83327484,0.44866666,0.80000001,32.58,"N",119.7,"E","Fig. 1F (SOC), Fig. 2A,E (Biomass)","SE",390,590,"China FACE rice - high N - weakly_Nhigh_AM",94.4314100286552,44.6522698191257,3,"no",0.0178265669857343,0.00049293584364915,48.7000000000003,3637.0388
"4","China FACE rice - high N - strongly","China FACE","China FACE","Hu et al. 2019","Yangdao 6 Hao (indica rice)",15,NA,"2012","FACE","intact","Nhigh","AM",3,2764.65,2877.72,48.64,50.78,3,3,0.1402189973,"Cropland","Agricultural",12,204.8,"204.8",2.18979287,5.83327484,0.44866666,0.80000001,32.58,"N",119.7,"E","Fig. 1F (SOC), Fig. 2A,E (Biomass)","SE",390,590,"China FACE rice - high N - strongly_Nhigh_AM",84.2469512801502,87.9535400083476,3,"no",0.0400842692640409,0.000620911185045446,113.07,4944.458
"5","China FACE weath - low N","China FACE","China FACE","Zhong et al. 2009",NA,15,"0-15 cm","Jun. 2008","FACE","intact","Nhigh","AM",4,1937,2123,53.94,104.4,3,3,0.07629751563,"Cropland","Agricultural",12,204.8,"204.8",2.18979287,5.83327484,0.44866666,0.80000001,32.58,"N",119.7,"E","table 1","sd",380,580,"China FACE weath - low N_Nhigh_AM",53.94,104.4,3.5,"no",0.0916897982962603,0.00106457158167593,186,4602.9612
"6","China FACE weath - high N","China FACE","China FACE","Zhong et al. 2009",NA,15,"0-15 cm","Jun. 2008","FACE","intact","Nhigh","AM",4,1937,2105,154.86,177.48,3,3,0.1825416999,"Cropland","Agricultural",12,204.8,"204.8",2.18979287,5.83327484,0.44866666,0.80000001,32.58,"N",119.7,"E","table 1","sd",380,580,"China FACE weath - high N_Nhigh_AM",154.86,177.48,3.5,"no",0.0831750827094859,0.00450017178674526,168,18493.59
"7","China OTC - low N","China FACE","China FACE","Zhang et al. 2015 (soil), Chen et. al., 2012 (plant)","modeled subtropical forest",20,"0-20 cm","April 2005","OTC","disturbed","Nlow","AM",5,2927.4,3305.16,443.64,439.92,2,3,-0.01344891867,"Tropical_Forest","Tree Stand",21.5,1750,"1750",2.03146124,2.63330698,0.528,0.63999999,23.33,"N",113.5,"E","soil: Fig. 1; plant: Fig. 3","SE",380,700,"China OTC - low N_Nlow_AM",627.4017048112,761.9637912657,3.7,"no",0.121370226561872,0.0406824971237959,377.76,390346.056
"8","China OTC - high N","China FACE","China FACE","Zhang et al. 2015 (soil), Chen et. al., 2012 (plant)","modeled subtropical forest",20,"0-20 cm","April 2005","OTC","disturbed","Nhigh","AM",5,3186.42,3695.7,721.56,436.02,2,3,0.18483613,"Tropical_Forest","Tree Stand",21.5,1750,"1750",2.03146124,2.63330698,0.528,0.63999999,23.33,"N",113.5,"E","soil: Fig. 1; plant: Fig. 3","SE",380,700,"China OTC - high N_Nhigh_AM",1020.43993806593,755.208793116182,3.7,"no",0.148271952112429,0.0651982832731022,509.28,710762.274
"9","DUKE FACE","Duke FACE","Duke FACE","Lichter et al. 2008",NA,15,"0-15 cm","Aug. 2006","FACE","intact","Nlow","ECM",9,2164,2096,152,175,3,3,0.1896534732,"Temperate_Forest","Tree Stand",4.9,1140,"1140",3.28978181,5.93327379,0.6531111,0.91600001,35.98,"N",79.1,"W","tab. 3","se",380,570,"DUKE FACE_Nlow_ECM",263.271722750469,303.108891324553,6,"no",-0.0319275945254393,0.0119046743959641,-68,53729
"10","FACTS II - Aspen","Aspen FACE","Aspen FACE","Talhelm et al. 2014",NA,20,"0-20 cm","2009","FACE","intact","Nlow","ECM",11,3318.6,2894,393.72,50.54,3,3,0.2960308576,"Temperate_Forest","Tree Stand",4.9,810,"810",1.85831475,5.13328218,0.412,0.84799999,45.67,"N",89.63,"W","Table S2","se",370,532,"FACTS II - Aspen_Nlow_ECM",681.943043956018,87.537847814531,7,"no",-0.136903379037258,0.0143805237118785,-424.6,157569.73
